index,target
905,PTTG2
663,SHH
2372,CACNA1H
2420,IL12RB2
2846,MAPKAPK2
857,CAT
3506,CNDP2
2864,ACVR1
4711,PYGM
2384,AOC1
2393,OXCT2
3808,TRIM25
849,ARNT
2401,CXCL3
2550,ACSL3
2852,KIR2DL2
2412,IL6ST
4722,BLNK
836,DCC
3700,AGPAT2
3790,RASA1
372,ORAI1
3699,CCNA2
876,LDHB
2865,PIP4K2B
3504,ADORA1
768,NT5E
2438,TNFAIP3
2843,IQGAP1
895,PER2
784,THBS3
2886,IMPAD1
2883,INPP5K
4692,CEBPA
2352,CHEK1
2354,ITPKA
670,TLR6
3775,FCGR3B
2563,CCL13
797,ACAA1
2358,HADHB
2845,ITK
3499,CCL28
2875,HTR4
886,BCL10
4813,RASGRF1
4739,PDE3A
3882,HSPB1
2266,ADIPOR2
3749,AGXT
313,MYH9
708,IL5
2514,PKMYT1
617,GALT
2793,DRD5
490,ACVR1B
423,RARB
4606,BUB1
3931,ACOX1
1023,ALDOB
706,CHEK2
2194,PIAS2
273,MKNK1
4842,NTRK2
2508,ERBB4
3680,KIR2DL3
2196,CTH
4621,PCCA
4839,IL1RAP
4623,LPAR1
3919,KCNMA1
269,IL21
3734,MAX
2171,ACSL4
3540,CYBB
3965,CAV1
2983,SLC25A4
3659,GDF5
1088,TLR7
1072,COL6A5
2622,MSN
4966,AOC2
244,NOTCH3
2144,CTTN
4949,CCL19
3955,TNFSF13B
4580,ACSBG2
2525,MECOM
2150,CNDP1
1071,CDC25A
3663,DGKI
2159,MYH10
3715,NOD2
4849,AKR1C4
5067,IL21R
3954,PHKB
4838,PCNA
417,ACSL1
445,LDHC
2239,IRAK2
2598,IL7
2945,INHBB
2488,CPT1B
305,EGLN1
2248,KLRC1
3894,TSHR
2926,CCR9
3892,PAX8
4643,HSD11B1
3535,STAT4
4794,OSMR
641,AGPAT1
964,ACSS1
2538,GUCY2D
3465,F2RL1
2258,MLYCD
413,POLE4
3745,ICOS
725,IL23R
634,AR
2551,HLA-DRA
2209,RDX
5052,LIFR
